4608
0	0	100    0	0	1
100	0	0    0	0	1
0	100	0    0	0	1
99.8795	4.9068	0    0	0	1
99.5185	9.8017	0    0	0	1
98.9177	14.673	0    0	0	1
98.0785	19.509	0    0	0	1
97.0031	24.298	0    0	0	1
95.694	29.0285	0    0	0	1
94.1544	33.689	0    0	0	1
92.388	38.2683	0    0	0	1
90.3989	42.7555	0    0	0	1
88.1921	47.1397	0    0	0	1
85.7729	51.4103	0    0	0	1
83.147	55.557	0    0	0	1
80.3208	59.5699	0    0	0	1
77.301	63.4393	0    0	0	1
74.0951	67.1559	0    0	0	1
70.7107	70.7107	0    0	0	1
67.1559	74.0951	0    0	0	1
63.4393	77.301	0    0	0	1
59.5699	80.3208	0    0	0	1
55.557	83.147	0    0	0	1
51.4103	85.7729	0    0	0	1
47.1397	88.1921	0    0	0	1
42.7555	90.3989	0    0	0	1
38.2683	92.388	0    0	0	1
33.689	94.1544	0    0	0	1
29.0285	95.694	0    0	0	1
24.298	97.0031	0    0	0	1
19.509	98.0785	0    0	0	1
14.673	98.9177	0    0	0	1
9.8017	99.5185	0    0	0	1
4.9068	99.8795	0    0	0	1
99.8795	0	4.9068    0	0	1
99.5185	0	9.8017    0	0	1
98.9177	0	14.673    0	0	1
98.0785	0	19.509    0	0	1
97.0031	0	24.298    0	0	1
95.694	0	29.0285    0	0	1
94.1544	0	33.689    0	0	1
92.388	0	38.2683    0	0	1
90.3989	0	42.7555    0	0	1
88.1921	0	47.1397    0	0	1
85.7729	0	51.4103    0	0	1
83.147	0	55.557    0	0	1
80.3208	0	59.5699    0	0	1
77.301	0	63.4393    0	0	1
74.0951	0	67.1559    0	0	1
70.7107	0	70.7107    0	0	1
67.1559	0	74.0951    0	0	1
63.4393	0	77.301    0	0	1
59.5699	0	80.3208    0	0	1
55.557	0	83.147    0	0	1
51.4103	0	85.7729    0	0	1
47.1397	0	88.1921    0	0	1
42.7555	0	90.3989    0	0	1
38.2683	0	92.388    0	0	1
33.689	0	94.1544    0	0	1
29.0285	0	95.694    0	0	1
24.298	0	97.0031    0	0	1
19.509	0	98.0785    0	0	1
14.673	0	98.9177    0	0	1
9.8017	0	99.5185    0	0	1
4.9068	0	99.8795    0	0	1
0	99.8795	4.9068    0	0	1
